,First pumping appliance,First pumping appliance,First pumping appliance,First pumping appliance,First pumping appliance,Second pumping appliance,Second pumping appliance,Second pumping appliance,Second pumping appliance,Second pumping appliance,Third pumping appliance,Third pumping appliance,Third pumping appliance,Third pumping appliance,Third pumping appliance,Overall incident response time (from call answer to arrival of first pumping appliance),Overall incident response time (from call answer to arrival of first pumping appliance),Overall incident response time (from call answer to arrival of first pumping appliance),Overall incident response time (from call answer to arrival of first pumping appliance),Overall incident response time (from call answer to arrival of first pumping appliance),Crew turnout time (pumping appliances),Crew turnout time (pumping appliances),Crew turnout time (pumping appliances),Crew turnout time (pumping appliances),Crew turnout time (pumping appliances)
Borough,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17
Barking and Dagenham,05:37,05:29,06:02,06:32,05:35,06:27,06:31,07:00,07:24,06:19,08:33,08:06,09:22,07:57,07:59,07:30,07:27,07:54,08:21,07:23,01:30,01:20,01:22,01:29,01:20
Barnet,06:13,06:05,05:58,06:00,05:48,08:12,08:01,07:30,07:31,07:27,09:18,09:16,09:09,08:40,08:55,08:07,07:51,07:45,08:14,07:34,01:17,01:13,01:16,01:21,01:21
Bexley,05:40,05:47,05:52,06:03,05:53,06:41,07:14,07:49,07:36,07:25,08:33,09:42,10:06,09:34,09:39,07:23,07:29,07:37,07:56,07:38,01:21,01:17,01:17,01:21,01:14
Brent,05:47,05:47,05:50,05:56,05:43,06:41,06:58,07:15,07:12,07:00,08:48,08:38,08:45,08:55,08:30,07:38,07:35,07:38,07:49,07:38,01:23,01:20,01:20,01:18,01:16
Bromley,06:07,06:18,06:03,06:01,06:04,07:59,07:59,07:45,07:34,07:25,09:30,09:38,09:54,09:35,10:00,07:59,08:04,07:53,07:58,07:58,01:10,01:14,01:20,01:23,01:23
Camden,04:33,04:36,04:55,05:10,05:03,05:51,06:01,06:02,06:17,06:11,07:12,07:17,07:42,07:36,07:34,06:11,06:13,06:35,07:05,06:42,01:28,01:19,01:18,01:21,01:12
City of London,04:42,04:41,05:00,05:17,05:00,05:45,05:51,06:34,06:55,06:27,07:08,07:10,07:59,07:44,07:34,06:24,06:22,06:41,07:19,06:32,01:13,01:28,01:26,01:26,01:15
Croydon,05:30,05:31,05:25,05:36,05:22,06:43,06:44,06:40,06:48,06:36,08:48,08:50,08:25,08:47,08:28,07:17,07:17,07:06,07:32,07:08,01:26,01:19,01:20,01:24,01:19
Ealing,05:18,05:23,05:33,05:39,05:36,06:26,06:46,07:08,07:09,07:09,08:04,08:19,08:45,09:04,08:38,07:05,07:07,07:14,07:48,07:19,01:13,01:13,01:13,01:18,01:18
Enfield,06:20,06:10,06:17,06:12,05:58,07:35,07:22,07:26,07:42,07:25,09:42,09:44,09:49,09:06,09:24,08:09,07:55,08:06,08:16,07:49,01:28,01:19,01:17,01:25,01:20
Greenwich,05:08,05:06,05:25,05:26,05:27,06:47,06:51,06:43,06:38,06:43,08:05,08:24,08:39,08:30,08:17,06:58,06:49,07:13,07:21,07:24,01:20,01:21,01:19,01:20,01:17
Hackney,04:37,04:45,05:03,05:08,04:54,05:18,05:32,05:58,06:02,05:46,07:22,07:26,07:48,07:44,07:33,06:29,06:28,06:51,07:02,06:45,01:26,01:25,01:18,01:22,01:22
Hammersmith and Fulham,04:53,04:52,04:58,05:02,04:59,05:52,06:06,06:19,06:17,06:06,07:02,07:30,07:52,07:37,07:19,06:39,06:29,06:44,06:42,06:45,01:13,01:27,01:22,01:24,01:22
Haringey,05:33,05:26,05:32,05:31,05:22,06:07,06:28,06:11,06:20,06:12,08:04,07:58,08:26,07:59,07:46,07:19,07:11,07:25,07:18,06:39,01:26,01:16,01:15,01:17,01:17
Harrow,06:10,06:01,05:51,05:58,05:53,08:15,08:02,07:13,07:18,07:17,10:19,10:20,09:03,09:35,09:29,07:53,07:38,07:28,07:47,07:31,01:12,01:09,01:15,01:13,01:08
Havering,05:32,05:40,05:54,06:05,05:55,07:11,07:42,08:04,08:26,08:09,08:38,08:50,09:04,08:54,08:36,07:22,07:30,07:46,07:59,07:48,01:10,01:08,01:13,01:12,01:13
Hillingdon,06:39,06:37,06:40,06:30,06:24,07:55,08:02,08:26,08:11,08:07,10:03,09:43,10:35,10:28,10:00,08:27,08:24,08:29,08:51,08:19,01:14,01:18,01:20,01:21,01:16
Hounslow,05:49,05:53,05:49,05:55,05:46,07:07,07:00,07:06,07:05,07:06,09:39,09:22,09:19,08:45,09:12,07:43,07:48,07:44,08:24,07:44,01:19,01:22,01:22,01:25,01:18
Islington,04:34,04:39,04:56,05:02,04:45,05:36,06:04,06:35,06:40,06:27,07:11,07:14,07:38,07:56,07:48,06:21,06:22,06:44,06:47,06:27,01:22,01:09,01:12,01:06,00:53
Kensington and Chelsea,04:23,04:34,04:40,04:44,04:33,05:19,06:02,06:13,06:11,06:12,06:58,07:07,07:38,07:19,07:24,06:08,06:12,06:17,06:34,06:19,01:17,01:20,01:16,01:21,01:17
Kingston upon Thames,05:54,06:01,05:52,05:44,05:46,08:07,08:21,08:04,07:38,07:51,09:31,09:35,09:19,09:08,09:13,07:36,07:45,07:35,07:36,07:33,01:23,01:22,01:07,01:14,01:09
Lambeth,04:32,04:34,04:40,04:51,04:46,05:06,05:23,05:30,05:44,05:40,06:52,07:34,07:14,07:34,07:15,06:17,06:19,06:21,06:49,06:29,01:20,01:22,01:23,01:23,01:21
Lewisham,04:35,04:52,05:12,05:11,04:57,06:12,06:38,06:58,07:03,06:56,07:29,07:48,08:13,08:00,07:52,06:18,06:34,06:56,07:18,06:38,01:21,01:17,01:22,01:24,01:15
Merton,05:31,05:31,05:31,05:31,05:36,07:41,07:42,07:36,07:10,07:30,09:26,09:20,09:46,09:00,08:54,07:14,07:15,07:10,07:45,07:15,01:11,01:10,01:12,01:19,01:15
Newham,04:52,05:18,05:49,05:30,05:20,05:57,06:35,07:09,07:12,07:03,07:28,08:12,08:18,07:58,08:11,06:42,07:04,07:32,07:14,07:07,01:03,01:02,01:04,01:05,01:10
Redbridge,05:43,05:35,05:55,06:00,05:51,06:57,07:09,07:37,07:41,07:36,08:50,09:07,10:03,09:58,09:36,07:34,07:26,07:48,08:06,07:43,01:18,01:16,01:13,01:14,01:12
Richmond upon Thames,06:12,06:02,05:51,05:52,05:45,08:27,08:26,07:12,07:27,07:16,09:36,09:30,09:44,09:21,09:08,08:03,07:44,07:37,07:33,07:27,01:07,01:13,01:14,01:16,01:13
Southwark,04:33,04:56,05:27,05:31,05:08,05:34,06:07,06:41,06:47,06:26,06:56,07:26,07:52,08:03,07:36,06:17,06:44,07:16,07:20,06:48,01:25,01:28,01:26,01:28,01:22
Sutton,05:49,05:50,05:43,05:41,05:37,07:05,07:03,07:01,07:06,06:55,09:30,08:44,08:46,08:39,08:31,07:37,07:27,07:20,07:19,07:11,01:27,01:28,01:24,01:22,01:14
Tower Hamlets,04:25,04:34,04:53,04:59,04:52,05:35,05:53,06:36,06:33,06:27,06:38,07:01,08:02,08:02,07:35,06:15,06:19,06:39,06:52,06:40,01:13,01:12,01:08,01:12,01:11
Waltham Forest,04:58,05:02,05:05,05:17,05:03,05:43,06:21,06:35,06:29,06:36,07:51,07:39,08:33,08:09,07:56,06:47,06:51,06:48,07:00,06:50,01:26,01:20,01:25,01:24,01:15
Wandsworth,04:52,05:00,05:09,05:07,04:59,06:04,06:19,06:39,06:33,06:31,07:15,07:28,07:49,07:47,07:43,06:38,06:40,06:50,06:57,06:43,01:16,01:21,01:22,01:23,01:14
Westminster,04:58,05:04,05:18,05:25,05:19,05:47,06:05,05:56,06:05,06:05,07:10,07:20,07:50,07:47,07:54,06:42,06:43,07:01,07:25,07:06,01:28,01:30,01:32,01:31,01:28
,05:13,05:18,05:27,05:32,05:22,06:22,06:39,06:48,06:51,06:44,07:52,08:03,08:26,08:20,08:10,07:00,07:02,07:12,07:28,07:08,01:20,01:19,01:18,01:21,01:17
