,Fire deaths (all),Fire deaths (all),Fire deaths (all),Fire deaths (all),Fire deaths (all),Fire deaths (accidental in the home),Fire deaths (accidental in the home),Fire deaths (accidental in the home),Fire deaths (accidental in the home),Fire deaths (accidental in the home),Serious fire injuries,Serious fire injuries,Serious fire injuries,Serious fire injuries,Serious fire injuries
Borough,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17
Barking and Dagenham,0,1,0,0,3,0,1,0,0,3,22,19,18,9,25
Barnet,2,1,0,0,0,1,0,0,0,0,26,17,16,14,19
Bexley,0,0,0,1,0,0,0,0,1,0,7,7,5,13,21
Brent,2,2,0,3,1,1,1,0,1,1,22,28,35,27,25
Bromley,2,0,1,2,2,2,0,1,1,2,22,10,17,16,10
Camden,1,2,0,1,3,1,2,0,0,3,19,38,18,11,12
City of London,1,0,0,0,0,1,0,0,0,0,2,0,3,1,1
Croydon,1,1,3,2,1,1,0,3,2,1,49,43,33,35,25
Ealing,3,0,4,2,3,1,0,3,1,2,33,36,24,23,33
Enfield,3,3,1,0,1,1,2,1,0,1,44,21,29,23,23
Greenwich,1,3,1,2,3,1,3,1,1,2,26,32,13,21,16
Hackney,2,2,1,1,1,2,2,1,1,1,33,18,13,18,16
Hammersmith and Fulham,4,2,0,2,1,4,1,0,1,1,18,15,9,7,16
Haringey,1,1,1,1,3,1,1,1,0,2,33,28,34,22,11
Harrow,0,0,2,0,0,0,0,1,0,0,14,6,6,9,13
Havering,1,1,0,1,3,1,0,0,1,3,23,13,15,17,10
Hillingdon,1,4,0,0,0,1,2,0,0,0,22,15,21,27,16
Hounslow,1,3,3,1,1,1,3,2,1,1,18,21,18,15,11
Islington,1,1,0,2,1,0,1,0,2,1,10,9,12,10,23
Kensington and Chelsea,1,0,0,2,0,1,0,0,1,0,23,10,8,28,17
Kingston upon Thames,0,0,2,0,1,0,0,1,0,1,17,6,6,10,5
Lambeth,4,0,0,2,3,1,0,0,2,3,37,45,21,23,20
Lewisham,0,1,4,2,0,0,0,3,0,0,51,19,25,27,20
Merton,0,1,0,0,1,0,0,0,0,1,6,10,7,19,10
Newham,2,3,2,2,2,0,2,2,0,2,26,33,16,21,15
Redbridge,0,1,0,1,1,0,1,0,1,1,29,13,24,12,22
Richmond upon Thames,2,0,0,1,0,2,0,0,1,0,14,3,7,9,4
Southwark,1,2,1,1,3,1,1,0,1,2,35,26,40,20,23
Sutton,0,2,0,1,1,0,2,0,1,1,12,14,10,8,10
Tower Hamlets,1,1,1,1,0,1,1,1,1,0,16,25,11,21,12
Waltham Forest,1,2,2,1,1,1,1,2,0,1,20,19,14,10,18
Wandsworth,1,2,1,1,3,1,2,0,0,2,17,29,30,31,24
Westminster,4,1,0,0,1,3,1,0,0,1,29,19,35,13,16
,44,43,30,36,44,31,30,23,21,39,775,647,593,570,542
